   0.000      0.7377E-01      0.8158E-01      0.7563E-01      0.1000E+01      0.8438E+00      0.7203E+00
   0.737      0.7429E-01      0.8212E-01      0.7614E-01      0.9976E+00      0.8438E+00      0.7220E+00
   1.470      0.7593E-01      0.8382E-01      0.7777E-01      0.9968E+00      0.8478E+00      0.7274E+00
   2.199      0.7898E-01      0.8691E-01      0.8079E-01      0.9984E+00      0.8558E+00      0.7438E+00
   2.919      0.8401E-01      0.9191E-01      0.8570E-01      0.9570E+00      0.8666E+00      0.7595E+00
   3.630      0.8956E-01      0.9952E-01      0.9063E-01      0.8984E+00      0.7969E+00      0.6435E+00
   4.330      0.9455E-01      0.1080E+00      0.9498E-01      0.9910E+00      0.6809E+00      0.4738E+00
   5.019      0.9724E-01      0.1145E+00      0.9864E-01      0.8451E+00      0.7236E+00      0.5343E+00
   5.695      0.9906E-01      0.1154E+00      0.1046E+00      0.6046E+00      0.8261E+00      0.6893E+00
   6.359      0.1077E+00      0.1158E+00      0.1124E+00      0.5992E+00      0.6438E+00      0.4234E+00
   7.011      0.1143E+00      0.1221E+00      0.1151E+00      0.8916E+00      0.6197E+00      0.3943E+00
   7.653      0.1123E+00      0.1249E+00      0.1199E+00      0.8192E+00      0.6742E+00      0.4722E+00
   8.286      0.1150E+00      0.1301E+00      0.1306E+00      0.8326E+00      0.8194E+00      0.6940E+00
   8.910      0.1157E+00      0.1422E+00      0.1394E+00      0.6814E+00      0.8172E+00      0.6930E+00
   9.528      0.1183E+00      0.1586E+00      0.1434E+00      0.4319E+00      0.5675E+00      0.3412E+00
  10.142      0.1252E+00      0.1691E+00      0.1388E+00      0.2692E+00      0.4785E+00      0.2306E+00
  10.753      0.1342E+00      0.1741E+00      0.1414E+00      0.1932E+00      0.4814E+00      0.2338E+00
  11.364      0.1351E+00      0.1697E+00      0.1487E+00      0.1755E+00      0.4803E+00      0.2378E+00
  11.977      0.1277E+00      0.1563E+00      0.1361E+00      0.1688E+00      0.5102E+00      0.2860E+00
  12.594      0.1254E+00      0.1369E+00      0.1202E+00      0.2042E+00      0.6392E+00      0.4521E+00
  13.219      0.1271E+00      0.1333E+00      0.1178E+00      0.3106E+00      0.7851E+00      0.6561E+00
  13.853      0.1324E+00      0.1448E+00      0.1241E+00      0.3138E+00      0.9753E+00      0.9583E+00
  14.501      0.1398E+00      0.1504E+00      0.1316E+00      0.2958E+00      0.8063E+00      0.6846E+00
  15.166      0.1507E+00      0.1547E+00      0.1465E+00      0.4246E+00      0.7005E+00      0.5222E+00
  15.852      0.1531E+00      0.1682E+00      0.1567E+00      0.4411E+00      0.6437E+00      0.4371E+00
  16.563      0.1475E+00      0.1829E+00      0.1628E+00      0.2692E+00      0.5814E+00      0.3511E+00
  17.304      0.1557E+00      0.1976E+00      0.1686E+00      0.2128E+00      0.5991E+00      0.3659E+00
  18.082      0.1684E+00      0.2003E+00      0.1760E+00      0.2483E+00      0.6865E+00      0.4802E+00
  18.901      0.1703E+00      0.1731E+00      0.1736E+00      0.3735E+00      0.7825E+00      0.6234E+00
  19.772      0.1652E+00      0.1542E+00      0.1690E+00      0.5823E+00      0.9543E+00      0.9151E+00
  20.702      0.1611E+00      0.1605E+00      0.1690E+00      0.6633E+00      0.9234E+00      0.8599E+00
  21.703      0.1491E+00      0.1549E+00      0.1530E+00      0.6081E+00      0.8858E+00      0.7918E+00
  22.788      0.1234E+00      0.1258E+00      0.1252E+00      0.6436E+00      0.7728E+00      0.6078E+00
  23.975      0.9192E-01      0.8995E-01      0.9721E-01      0.6678E+00      0.7618E+00      0.5887E+00
  25.284      0.6996E-01      0.6139E-01      0.7086E-01      0.7470E+00      0.8879E+00      0.7981E+00
  26.739      0.6080E-01      0.5449E-01      0.6388E-01      0.9435E+00      0.8559E+00      0.7405E+00
  28.375      0.5188E-01      0.4905E-01      0.5554E-01      0.9606E+00      0.7870E+00      0.6277E+00
  30.233      0.4196E-01      0.3855E-01      0.4315E-01      0.9930E+00      0.7890E+00      0.6315E+00
  32.371      0.3604E-01      0.3674E-01      0.3737E-01      0.7715E+00      0.8131E+00      0.6678E+00
  34.862      0.3197E-01      0.3802E-01      0.3109E-01      0.6556E+00      0.8320E+00      0.7032E+00
  37.811      0.2225E-01      0.2687E-01      0.2189E-01      0.6516E+00      0.9306E+00      0.8718E+00
  41.364      0.1446E-01      0.1564E-01      0.1522E-01      0.7201E+00      0.9589E+00      0.9250E+00
  45.734      0.1158E-01      0.1126E-01      0.1141E-01      0.8019E+00      0.9387E+00      0.8837E+00
  51.245      0.6670E-02      0.6356E-02      0.6304E-02      0.9664E+00      0.9808E+00      0.9643E+00
  58.411      0.2566E-02      0.2556E-02      0.2492E-02      0.9820E+00      0.1000E+01      0.9934E+00
  68.106      0.1041E-02      0.1054E-02      0.1026E-02      0.9450E+00      0.1000E+01      0.1000E+01
  81.934      0.4186E-03      0.4264E-03      0.4152E-03      0.9450E+00      0.1000E+01      0.1000E+01
 103.208      0.1479E-03      0.1511E-03      0.1466E-03      0.9450E+00      0.1000E+01      0.1000E+01
 140.035      0.4000E-04      0.4131E-04      0.4000E-04      0.9608E+00      0.1000E+01      0.1000E+01
 218.931      0.6416E-05      0.6545E-05      0.6289E-05      0.1000E+01      0.1000E+01      0.1000E+01
 218.931      0.6416E-05      0.6545E-05      0.6289E-05      0.1000E+01      0.1000E+01      0.1000E+01
