   0.000      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00
   0.737      0.1644E-02      0.1551E-02      0.1597E-02     -0.9774E-01      0.0000E+00     -0.2295E+01
   1.470      0.3528E-02      0.3244E-02      0.3408E-02     -0.1275E+00     -0.3448E+02     -0.7541E+01
   2.199      0.6114E-02      0.5352E-02      0.5908E-02      0.6199E-01     -0.1282E+03     -0.3622E+02
   2.919      0.1146E-01      0.8592E-02      0.1120E-01      0.1661E+01     -0.4918E+03     -0.1331E+03
   3.630      0.2273E-01      0.1558E-01      0.2201E-01      0.2646E+01     -0.2016E+03     -0.5346E+02
   4.330      0.3674E-01      0.2998E-01      0.3297E-01      0.1496E+00     -0.3577E+02     -0.9680E+01
   5.019      0.5337E-01      0.4937E-01      0.4479E-01     -0.2006E+01      0.9539E+02      0.2556E+02
   5.695      0.6168E-01      0.7049E-01      0.5224E-01     -0.5573E+01     -0.2812E+03     -0.7400E+02
   6.359      0.7037E-01      0.7782E-01      0.6959E-01     -0.1254E+02     -0.6897E+01     -0.1839E+01
   7.011      0.9751E-01      0.9047E-01      0.8693E-01     -0.3740E+01      0.4237E+02      0.1134E+02
   7.653      0.1149E+00      0.1033E+00      0.9559E-01     -0.3374E+01      0.5412E+02      0.1447E+02
   8.286      0.1296E+00      0.1108E+00      0.1110E+00     -0.2172E+01      0.2572E+02      0.6912E+01
   8.910      0.1445E+00      0.1186E+00      0.1343E+00     -0.2282E+01     -0.2116E+02     -0.5686E+01
   9.528      0.1549E+00      0.1387E+00      0.1646E+00     -0.2971E+01     -0.3009E+02     -0.8070E+01
  10.142      0.1661E+00      0.1678E+00      0.1899E+00     -0.3371E+01     -0.9190E+01     -0.2458E+01
  10.753      0.1890E+00      0.2028E+00      0.2043E+00     -0.3481E+01      0.1025E+02      0.2744E+01
  11.364      0.2226E+00      0.2446E+00      0.2366E+00     -0.3402E+01      0.1798E+02      0.4809E+01
  11.977      0.2483E+00      0.2868E+00      0.2837E+00     -0.2707E+01      0.1993E+02      0.5340E+01
  12.594      0.2597E+00      0.3097E+00      0.2972E+00     -0.1024E+01      0.1839E+02      0.4930E+01
  13.219      0.2709E+00      0.2997E+00      0.2905E+00     -0.1637E+01      0.1200E+02      0.3222E+01
  13.853      0.2839E+00      0.3044E+00      0.2926E+00     -0.4842E+01      0.1336E+01      0.3526E+00
  14.501      0.3017E+00      0.3296E+00      0.3011E+00     -0.1097E+01     -0.1296E+02     -0.3479E+01
  15.166      0.3302E+00      0.3477E+00      0.3178E+00      0.4823E+01     -0.2792E+02     -0.7472E+01
  15.852      0.3783E+00      0.3673E+00      0.3555E+00     -0.1550E+02     -0.3772E+02     -0.1010E+02
  16.563      0.4161E+00      0.4073E+00      0.3969E+00     -0.4975E+01     -0.3533E+02     -0.9473E+01
  17.304      0.4372E+00      0.4664E+00      0.4443E+00      0.1137E+00     -0.1084E+02     -0.2887E+01
  18.082      0.4950E+00      0.5795E+00      0.5061E+00      0.4608E+01      0.4854E+02      0.1303E+02
  18.901      0.5871E+00      0.7233E+00      0.6024E+00      0.1002E+02      0.1472E+03      0.3928E+02
  19.772      0.6896E+00      0.7710E+00      0.6901E+00      0.2118E+02      0.7014E+02      0.1901E+02
  20.702      0.8170E+00      0.8645E+00      0.8272E+00      0.5132E+02     -0.1500E+03     -0.4061E+02
  21.703      0.1010E+01      0.1096E+01      0.1041E+01      0.4090E+02     -0.2073E+03     -0.5500E+02
  22.788      0.1193E+01      0.1305E+01      0.1200E+01      0.4845E+02     -0.1460E+03     -0.3890E+02
  23.975      0.1243E+01      0.1334E+01      0.1278E+01      0.5089E+02     -0.2335E+02     -0.5950E+01
  25.284      0.1141E+01      0.1126E+01      0.1171E+01      0.4699E+02      0.7353E+03      0.2044E+03
  26.739      0.1098E+01      0.1037E+01      0.1115E+01      0.2654E+02     -0.3757E+03     -0.1014E+03
  28.375      0.1065E+01      0.1031E+01      0.1125E+01      0.5821E+02     -0.1133E+03     -0.2970E+02
  30.233      0.9687E+00      0.9162E+00      0.9917E+00     -0.5777E+01      0.9231E+02      0.2521E+02
  32.371      0.8933E+00      0.8906E+00      0.9167E+00     -0.7958E+02      0.2153E+03      0.5598E+02
  34.862      0.8225E+00      0.9286E+00      0.7980E+00     -0.5586E+02      0.2654E+03      0.7138E+02
  37.811      0.5717E+00      0.6307E+00      0.5700E+00      0.1447E+02      0.2615E+03      0.6992E+02
  41.364      0.3967E+00      0.3809E+00      0.4027E+00      0.8927E+02     -0.4698E+03     -0.1254E+03
  45.734      0.2921E+00      0.2534E+00      0.2625E+00      0.1746E+03      0.2000E+04      0.5802E+03
  51.245      0.6009E-01      0.5486E-01      0.5323E-01      0.2295E+03      0.1000E+04      0.2857E+03
  58.411      0.7800E-02      0.7344E-02      0.7307E-02      0.5000E+04      0.0000E+00      0.1220E+03
  68.106      0.2460E-02      0.2464E-02      0.2455E-02      0.0000E+00      0.0000E+00      0.0000E+00
  81.934      0.1060E-02      0.1062E-02      0.1059E-02      0.0000E+00      0.0000E+00      0.0000E+00
 103.208      0.4409E-03      0.4414E-03      0.4407E-03      0.0000E+00             NaN      0.0000E+00
 140.035      0.2104E-03      0.2106E-03      0.2104E-03      0.0000E+00             NaN      0.0000E+00
 218.931      0.0000E+00      0.0000E+00      0.0000E+00             NaN             NaN             NaN
 218.931      0.0000E+00      0.0000E+00      0.0000E+00             NaN             NaN             NaN
